V080101a,V082425,V083037a,V083037b,V083069,V083105,V083108x,V083112,V083113,V083114a,V083114b,V083115,V083115a,V083116,V083117,V083117a,V083118,V083118a,partyID,ideology,FTobama,FTmccain,servicespending,servicespending2,servicespendingFULL,DEMmuchlessspend,DEMmorespend,DEMmuchmorespend,REPmuchlessspend,REPlessspend,REPmorespend,REPmuchmorespend,DEMlessspend
215131.5,1. Democratic Presidential cand is 1st (defense spending),40,70,4. Moderate; middle of the road,6,"-1. INAP, R selected for VERSION OLD",3,3. Somewhat important,4,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,40,70,6,,6,0,1,0,0,0,1,0,0
107822.37,1. Democratic Presidential cand is 1st (defense spending),60,60,2. Liberal,2,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,1. Govt should decrease defense spending,1. Govt should decrease defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.1666667,60,60,2,,2,0,0,0,0,1,0,0,1
49972.758,1. Democratic Presidential cand is 1st (defense spending),60,60,-7. Haven't thought much about it,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",4,4. Very important,5,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,60,60,4,,4,0,1,0,0,0,1,0,0
73839.166,2. Republican Presidential cand is 1st (defense spending),100,0,3. Slightly liberal,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,3. Somewhat,3. Moderately important,3. Less,5. Slightly,1. More,1. A lot,0,0.3333333,100,0,,6,6,,,,,,,,
34792.419,2. Republican Presidential cand is 1st (defense spending),85,15,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",1. A lot more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,1. A lot,2. Slightly important,3. Less,1. A lot,1. More,3. Somewhat,0,0.5,85,15,,7,7,,,,,,,,
92076.509,2. Republican Presidential cand is 1st (defense spending),70,30,4. Moderate; middle of the road,5,"-1. INAP, R selected for VERSION OLD",4,4. Very important,5,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,70,30,5,,5,0,1,0,0,0,1,0,0
58496.588,2. Republican Presidential cand is 1st (defense spending),85,50,-7. Haven't thought much about it,6,"-1. INAP, R selected for VERSION OLD",-7. Haven't thought much about this,4. Very important,7. Govt should increase defense spending,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",,0.5,85,50,6,,6,,,,,,,,
101674.66,1. Democratic Presidential cand is 1st (defense spending),30,70,4. Moderate; middle of the road,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",5,4. Very important,3,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,30,70,4,,4,0,0,0,0,0,0,0,1
45113.83,1. Democratic Presidential cand is 1st (defense spending),-8. Don't know ('don't know where to rate'),60,6. Conservative,"-1. INAP, R selected for VERSION NEW",3. Slightly more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",2. Slightly important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.8333333,50,60,,5,5,,,,,,,,
41722.753,2. Republican Presidential cand is 1st (defense spending),70,60,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,5. Slightly,3. Moderately important,3. Less,1. A lot,1. More,1. A lot,0.5,0.5,70,60,,4,4,,,,,,,,
